Packet,Link Dir,Ord.Set Type,DLLP Type,TLP Type,Link Event,PSN,AckNak_Seq_Num,VC ID,HdrFC,DataFC,TC,TH,TD,EP,Attributes,AT,Length,RequesterID,Tag,CompleterID,Address,DeviceID,Register,1st BE,Last BE,Cpl Status,Byte Cnt,BCM,Lwr Addr,Msg Routing,Message Code,TS Link,TS Lane,N_FTS,Training Control,TS Data Rate,TS Gen3 Eq Control,TS Gen3 Pre-Cursor,TS Gen3 Cursor,TS Gen3 Post-Cursor,PMUX Channel ID,PMUX Metadata,Snoop,Requirement (Snoop),Scale (Snoop),Value (Snoop),No-Snoop,Requirement (No-Snoop),Scale (No-Snoop),Value (No-Snoop),LCRC,ECRC,CRC 16,Time Delta,Time Stamp,DATA
10,Upstream,,,MWr(64),,125,,,,,,,,,,,64,001:00:0,0,,00000001:016AF100,,,1111,1111,,,,,,,,,,,,,,,,,,,,,,,,,,0xE46E546E,0x78AF2D9A,,27.250 ns,0441.801260290s,33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 00000100 F8E80400 
11,Downstream,,ACK,,,,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x3897,70.250 ns,0441.801260318s,
12,Downstream,,ACK,,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x998C,141.250 ns,0441.801260390s,
13,Upstream,,,MWr(64),,126,,,,,,,,,,,64,001:00:0,0,,00000001:016AF200,,,1111,1111,,,,,,,,,,,,,,,,,,,,,,,,,,0x0FF4E54E,0x82D55F3C,,0.000 ns,0441.801260530s,00000100 F9E80400 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 
14,Upstream,,,MWr(64),,127,,,,,,,,,,,64,001:00:0,0,,00000001:016AF300,,,1111,1111,,,,,,,,,,,,,,,,,,,,,,,,,,0x6980A5E7,0xD69D33F3,,27.750 ns,0441.801260602s,33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 00000100 F9E80400 
15,Downstream,,ACK,,,,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x7AA0,69.750 ns,0441.801260630s,
16,Downstream,,ACK,,,,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0xDBBB,129.250 ns,0441.801260702s,
17,Upstream,,,MWr(64),,128,,,,,,,,,,,64,001:00:0,0,,00000001:016AF400,,,1111,1111,,,,,,,,,,,,,,,,,,,,,,,,,,0xD0420362,0x02F54976,,0.000 ns,0441.801260832s,00000100 FAE80400 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 
18,Upstream,,,MWr(64),,129,,,,,,,,,,,64,001:00:0,0,,00000001:016AF500,,,1111,1111,,,,,,,,,,,,,,,,,,,,,,,,,,0xB63643CB,0x24CA1148,,35.750 ns,0441.801260904s,33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 00000100 FAE80400 
19,Downstream,,ACK,,,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0xBBB2,69.750 ns,0441.801260940s,
